Identifier,NodeType,followers,Following,connections,Degree
016forDSA,leaf-user,,,,2
01joy,leaf-user,,,,2
0359xiaodong,leaf-user,,,,5
0532,leaf-user,,,,5
06wj,user,51,51,102,100
0bman,leaf-user,,,,3
0dayZh,leaf-user,,,,2
0linatan0,leaf-user,,,,3
0MeMyself,user,0,4,4,4
0neSe7en,leaf-user,,,,3
0x00A,user,51,51,102,103
0x24bin,leaf-user,,,,2
0x27,leaf-user,,,,2
0x5e,user,51,51,102,107
0xabcdefff,leaf-user,,,,2
0xae,leaf-user,,,,3
0xAX,leaf-user,,,,5
0xNacho,user,51,51,102,86
0xPIT,leaf-user,,,,2
100apps,leaf-user,,,,5
100mango,leaf-user,,,,4
1010sunflower,user,0,3,3,3
1018598742,leaf-user,,,,2
1027820779,leaf-user,,,,2
1129121387,user,3,1,4,4
1217950746,leaf-user,,,,2
13693100472,leaf-user,,,,2
13meimei,user,4,51,55,55
1414648814,leaf-user,,,,2
1435818484,leaf-user,,,,2
14ITA18,leaf-user,,,,2
15010300689,leaf-user,,,,3
15210106940,leaf-user,,,,3
15600826825,leaf-user,,,,2
15806905685,leaf-user,,,,3
18268210923,leaf-user,,,,2
184565673,leaf-user,,,,2
18plusui,leaf-user,,,,2
1900-pro,leaf-user,,,,9
191141516,leaf-user,,,,2
19930323,leaf-user,,,,2
1995parham,leaf-user,,,,2
1anc3r,user,20,34,54,34
1c7,user,49,51,100,95
1u4nx,leaf-user,,,,2
20141211,leaf-user,,,,2
2015211291,leaf-user,,,,7
2015-lizaiyang,leaf-user,,,,2
2063978470,leaf-user,,,,2
255kb,leaf-user,,,,2
283010247,leaf-user,,,,5
2betop,leaf-user,,,,3
2tarotk,user,51,51,102,96
2XL,user,13,4,17,17
3b1b,leaf-user,,,,3
3dgiordano,leaf-user,,,,2
3ki5tj,leaf-user,,,,4
3rd-Eden,leaf-user,,,,5
412andrewmortimer,leaf-user,,,,2
456838,user,0,2,2,2
45kb,leaf-user,,,,2
4eek,user,17,17,34,17
4lph4,leaf-user,,,,2
521xueweihan,leaf-user,,,,5
52cik,leaf-user,,,,2
575617819,leaf-user,,,,2
58code,leaf-user,,,,2
5fire,leaf-user,,,,2
5-say,leaf-user,,,,2
5SMNOONMS5,leaf-user,,,,2
62mm,leaf-user,,,,3
644792799,leaf-user,,,,8
6thSence,user,51,51,102,91
730leo,user,1,15,16,15
756718646,leaf-user,,,,2
779442053,leaf-user,,,,3
78,leaf-user,,,,2
798714773,user,1,3,4,4
7AMOOO,leaf-user,,,,3
7heaven,leaf-user,,,,6
7kfpun,leaf-user,,,,2
7sDream,user,51,0,51,54
7sharp9,leaf-user,,,,2
80vul,leaf-user,,,,2
810464826,leaf-user,,,,2
874516119,leaf-user,,,,3
88250,user,51,51,102,77
931743010,leaf-user,,,,4
95270,leaf-user,,,,2
976500133,leaf-user,,,,56
981213,leaf-user,,,,2
9b,leaf-user,,,,2
9ch,leaf-user,,,,2
9chu,leaf-user,,,,2
9seconds,user,35,23,58,48
a12590,leaf-user,,,,2
a1exlism,leaf-user,,,,2
a2wd,user,12,10,22,12
a494413872,user,2,3,5,3
a7xphoenix,leaf-user,,,,2
a87150,leaf-user,,,,2
aa65535,leaf-user,,,,2
aaaron7,user,43,31,74,59
aadarshasubedi,user,1,7,8,7
aaditmshah,leaf-user,,,,2
aadityabagga,user,21,51,72,68
aagnes,leaf-user,,,,2
aaime,leaf-user,,,,2
aamiralahazan,user,3,51,54,66
aarongable,user,51,0,51,52
aaronmiller,user,13,31,44,31
Aaronontheweb,leaf-user,,,,2
aaronpk,leaf-user,,,,2
AaronPlay,leaf-user,,,,2
aaronz,leaf-user,,,,2
aarossig,leaf-user,,,,2
aarpoman,leaf-user,,,,2
aarunvignesh,leaf-user,,,,2
aarzoochinal,leaf-user,,,,2
aatibudhi,user,17,51,68,70
aaugustin,leaf-user,,,,3
ab9x3jhx6a,user,4,4,8,8
abaer,user,3,2,5,5
abaeyens,user,3,2,5,4
abbazabacto,leaf-user,,,,2
abbood,leaf-user,,,,2
abc20899,leaf-user,,,,2
abc612008,leaf-user,,,,2
abcdabcd987,leaf-user,,,,4
abdulabbas,user,51,51,102,79
AbdullahGhanem,leaf-user,,,,2
AbdulRuhman,leaf-user,,,,2
abedra,leaf-user,,,,2
abel533,leaf-user,,,,2
abelborges,user,13,51,64,51
abel-masila,leaf-user,,,,3
abhaymane93,leaf-user,,,,2
AbhiAgarwal,user,51,51,102,101
abhijit945,leaf-user,,,,2
abhishekbhalani,leaf-user,,,,4
abhishek-ch,user,51,51,102,80
abhishekkrthakur,leaf-user,,,,3
